Year,Length,Title,Subject,Actor,Popularity
1990,111,Tie Me Up! Tie Me Down!,Comedy,"Banderas, Antonio",68
1991,113,High Heels,Comedy,"Bosé, Miguel",68
1983,104,Dead Zone: The,Horror,"Walken, Christopher",79
1979,122,Cuba,Action,"Connery, Sean",6
1978,94,Days of Heaven,Drama,"Gere, Richard",14
1983,140,Octopussy,Action,"Moore, Roger",68
1984,101,Target Eagle,Action,"Connors, Chuck",14
1989,99,American Angels: Baptism of Blood: The,Drama,"Bergen, Robert D.",28
1985,104,Subway,Drama,"Lambert, Christopher",6
1990,149,Camille Claudel,Drama,"Depardieu, Gérard",32
1982,188,Fanny and Alexander,Drama,"Ahlstedt, Börje",81
1982,117,Tragedy of a Ridiculous Man,Drama,"Tognazzi, Ugo",17
1966,103,A Man & a Woman,Drama,"Trintignant, Jean-Louis",46
1986,112,A Man & a Woman: Twenty Years Later,Drama,"Trintignant, Jean-Louis",49
1966,103,Un Hombre y una Mujer,Drama,"Trintignant, Jean-Louis",6
1985,112,Official Story: The,Drama,"Alterio, Hector",39
1976,150,Lindbergh Kidnapping Case: The,Drama,"Hopkins, Anthony",51
1929,84,Blackmail,Mystery,"Longden, John",2
1963,109,Donovan's Reef,Comedy,"Wayne, John",62
1988,110,Tucker: The Man & His Dream,Drama,"Bridges, Jeff",68
1988,101,Scrooged,Comedy,"Murray, Bill",15
1981,116,Raiders of the Lost Ark,Action,"Ford, Harrison",8
1987,101,Running Man: The,Science Fiction,"Schwarzenegger, Arnold",31
1991,105,Predator 2,Action,"Glover, Danny",79
1988,127,Colors,Drama,"Penn, Sean",23
1990,97,Zandalee,Drama,"Cage, Nicolas",80
1988,108,Miles from Home,Drama,"Anderson, Kevin",53
1980,,Happy Birthday to Me,Horror,"Ford, Glenn",88
1989,88,Final Notice,Mystery,"Gerard, Gil",88
1979,110,Quintet,Drama,"Newman, Paul",19
1960,90,Devil's Eye: The,Drama,"Kulle, Jarl",20
1957,91,Wild Strawberries,Drama,"Sjöström, Victor",42
1956,96,Seventh Seal: The,Drama,"Sydow, Max von",62
1992,90,Germicide,Drama,"Taylor, Rod",36
1955,86,Dreams,Drama,"Björnstrand, Gunnar",14
1955,95,Naked Night: The,Drama,"Björnstrand, Gunnar",38
1962,91,Through a Glass Darkly,Drama,"Björnstrand, Gunnar",64
1972,91,Cries & Whispers,Drama,"Josephson, Erland",18
1958,104,Barbarian & the Geisha: The,Action,"Wayne, John",52
1967,130,Casino Royale,Comedy,"Niven, David",11
1962,,Dr. No,Action,"Connery, Sean",7
1954,103,Elephant Walk,Drama,"Finch, Peter",11
1979,121,Ten,Comedy,"Moore, Dudley",60
1983,118,Man Who Loved Women: The,Comedy,"Reynolds, Burt",67
1966,190,Hawaii,Drama,"Sydow, Max von",8
1966,125,Torn Curtain,Mystery,"Newman, Paul",35
1986,107,Duet for One,Drama,"Bates, Alan",82
1965,172,Sound of Music: The,Music,"Plummer, Christopher",59
1985,55,Gonzo Presents Muppet Weird Stuff,Comedy,"Cleese, John",88
1984,140,Tartuffe,Comedy,"Depardieu, Gérard",67
1988,104,A New Life,Comedy,"Alda, Alan",53
1978,106,Magic,Mystery,"Hopkins, Anthony",85
1992,286,Tommy,Music,"Daltry, Roger",5
1978,108,Big Fix: The,Mystery,"Dreyfuss, Richard",19
1992,95,Alan & Naomi,Drama,"Haas, Lukas",3
1987,120,Fatal Attraction,Mystery,"Douglas, Michael",61
1992,117,Patriot Games,Action,"Ford, Harrison",28
1981,106,Woman Next Door: The,Drama,"Depardieu, Gérard",82
1992,97,Hunting,Mystery,"Savage, John",68
1991,115,Bataan,War,"Taylor, Robert",68
1924,110,Siegfried: The Nibelungenlied,Drama,"Richter, Paul",79
1991,90,Henry: Portrait of a Serial Killer,Horror,"Rooker, Michael",69
1988,118,Big Blue: The,Drama,"Barr, Jean-Marc",7
1991,115,Flight of the Intruder,Drama,"Glover, Danny",51
1986,108,Nobody's Fool,Comedy,"Roberts, Eric",52
1985,97,After Hours,Comedy,"Dunne, Griffin",81
1985,104,Desperately Seeking Susan,Comedy,"Quinn, Aidan",41
1971,102,A New Leaf,Comedy,"Matthau, Walter",83
1959,91,Killers of Kilimanjaro,Action,"Taylor, Robert",11
1926,126,Don Juan,Action,"Barrymore, John",55
1987,102,Babette's Feast,Drama,"LaFont, Jean-Philippe",79
1989,118,Vincent: Francois: Paul & the Others,Drama,"Montand, Yves",20
1988,141,Thunderball,Action,"Connery, Sean",8
1926,66,Lodger (Story of the London Fog),Mystery,"Chesney, Arthur",76
1988,103,Appointment with Death,Mystery,"Ustinov, Peter",75
1974,128,Murder on the Orient Express,Mystery,"Balsam, Martin",8
1955,115,Blood Alley,War,"Wayne, John",15
